news,fakeness
Live from Kashi...Grateful for the warmth and affection! https://t.co/792e4aX6Sa,1
"After bumper rallies in Darbhanga and Banda, I am heading to beloved Kashi. 

There are a series of programmes line? https://t.co/h9WM9aa5rO",1
"So many great women and men took part in the freedom struggle. Do we ever ask what caste did they belong to?

Do we? https://t.co/pd4vZVyrRu",1
"At the rally in Banda, talked about a series of subjects, particularly NDA?s vision for irrigation and ensuring eve? https://t.co/fMEcMwOKmq",1
"Campaigned in Darbhanga in Bihar. 

Highlighted the work done by the NDA Government at the Centre and the Bihar Gov? https://t.co/HETlyYcD7W",1
Banda will reject opportunists of SP and BSP. People will vote BJP! Watch. https://t.co/CUnzjZ07fa,1
Happy to be in Darbhanga. Watch my address at a massive NDA rally. https://t.co/RZaTgrVThL,1
Retirement?what is that? https://t.co/3Kas3N0VTG,1
"Here are details on the films I have seen, and at what stages of my life I saw them... https://t.co/gGOPz2Zjv8",1
"The many things that I wanted to do in my childhood...

(Note-politics was not even a remote consideration!) https://t.co/EZcxZDNBIv",1
A fruit I enjoy eating... https://t.co/JqnGzi6Np5,1
"My school days, a dormant bank account and a contribution towards educating daughters of some of the staff in the G? https://t.co/QveRBUrgV2",1
"Memories from Ranaghat?outpouring of support and affection.

Thank you West Bengal! https://t.co/Ch6BXnaADm",1
"Till a few years ago, it was considered impossible for the BJP to hold mega rallies in Bengal but the hardwork of o? https://t.co/I22rLKnRQ0",1
"Respected Didi,

Film stars from other nations and TMC goons will not save your party.

West Bengal has decided tha? https://t.co/M4PUGIIcaI",1
"India?s stand on terror is respected.

Indians stuck in conflict zones coming back home.

Indian workers imprisoned? https://t.co/YVgreJNfNf",1
Gurudev Tagore dreamt of a Bengal where the mind is without fear and the head is held high but TMC?s Bengal is diff? https://t.co/V2cGH0HByB,1
"The menace of terror needs to be controlled at the earliest and for that, a strong Government is needed. https://t.co/SilpmZzNGs",1
Speaking in Ranaghat in West Bengal. Watch. https://t.co/GXEmIbcO9E,1
"Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfshL7wv",1
Thank you Jharkhand for the affection. Watch from Lohardaga. https://t.co/TvtROQws1o,1
Having a wonderful conversation with @akshaykumar. Do watch! https://t.co/3VWRUvWTng,1
"Voted in Ahmedabad. 

Addressed two rallies in Odisha. 

Went to West Bengal to address a rally. 

Then reached Ran? https://t.co/IrTbubgo0F",1
"The campaign takes me to parts of Jharkhand and West Bengal. 

Will speak at a rally in Lohardaga.

Will then addre? https://t.co/4FzPZZlt4D",1
"Thank you Jharkhand for the affection! 

Here are glimpses from Ranchi. https://t.co/AGcxsJlUF9",1
The life of Bhagwan Birsa Munda epitomises unparalleled courage. His struggles and sacrifice give strength to milli? https://t.co/tXoWOJLmAF,1
The Government that New India wants and why BJP is the preferred choice of the youth? https://t.co/HYUjOrKjup,1
"Here is the reality of the TMC model of ?development.? 

Warning- it is corrupt, violent and regressive. https://t.co/ZXf2KAwwpc",1
"Amazing Asansol! 

I thank all those who came to bless us during the rally today. https://t.co/9SdhQJMDyv",1
"Those born in the 21st century, our first time voters have only seen BJD misrule. 

A vote for BJP in Odisha is a v? https://t.co/jgPIOBarLm",1
"Here are pictures from the campaign in Kendrapara and Balasore, Odisha. After leaving matters of administration to? https://t.co/aAEmC7OyiG",1
RT @akshaykumar: Do you ever wonder whether PM Modi manages to laugh during the heat of the election campaign? You?ll get the answer tomorr?,1
"Dear @akshaykumar, it was good talking to you about everything, except politics and elections :)
I'm sure people wo? https://t.co/z2T9j64F9X",1
TMC bullying isn't going to stop BJP! West Bengal has decided to vote BJP...watch from Asansol. https://t.co/kymSxt5oLd,1
Second rally of the day in Odisha. Hear my speech in Balasore. https://t.co/mYZerr12xZ,1
Kendrapara will not vote for Congress or BJD. It?s BJP everywhere in this seat. Watch. https://t.co/NLFOBzpeo5,1
"Sharing some more glimpses from Ahmedabad, where I voted. https://t.co/AkBFKfiqHN",1
"Voted! 

It feels great to be taking part in our democratic process. https://t.co/b3g8CT7t7A",1
Urging all those voting in today?s Third Phase of the 2019 Lok Sabha elections to do so in record numbers. Your vot? https://t.co/QqQWjwg8bH,1
"Campaigned in Jodhpur this evening. The mood was euphoric. 

Situation of the Congress in Rajasthan is so bad that? https://t.co/U9h11OtvoV",1
"This is how Udaipur came to support us! 

At today?s huge rally, spoke about the steps taken by the NDA Government? https://t.co/ewzaeUigwT",1
Rajasthan?s mood is clear - a vote for BJP! Speaking in Jodhpur. https://t.co/m4HCWYIkIZ,1
"Fantastic effort, @iamsrk!

I am sure the people of India, especially first time voters will pay heed to your appea? https://t.co/NHmj0yFRDb",1
"If there is one section of society Congress represents with great vigour, it is middlemen. 

Using middlemen, they? https://t.co/29GYbleGxi",1
"Did anyone imagine that the postman and post offices could be harbingers of dignity and prosperity! 

Your vote in? https://t.co/OwNMtBjiE9",1
"Dear citizens,

Your vote in 2014 gave India a strong Government that could protect the nation. 

Otherwise, the ti? https://t.co/AQRGplCAr8",1
"Sharing glimpses from Dindori and Nandurbar in Maharashtra. 

For Congress and their Mahamilawat friends, the seats? https://t.co/XaFGVloLZK",1
"Watch my speech at the huge BJP rally in Udaipur, Rajasthan. https://t.co/2T2ZaaEW8q",1
Great to catch a glimpse of the Statue of Unity on the way to Rajasthan! https://t.co/sG618SHqRL,1
Speaking in at a rally in Nandurbar. Watch. https://t.co/KXpwPyIy0h,1
"Speaking at a huge rally in Dindori, Maharashtra. Watch. https://t.co/wyysdSic8g",1
"Today on #EarthDay, we bow in reverence to Mother Earth. For years, this great planet has been home to phenomenal d? https://t.co/AN6kYha2QA",1
"Whenever Congress comes to power:

Prices are high.

Taxes are high.

Irrigation projects are delayed. 

National s? https://t.co/FoF2VVzbuD",1
"Will be heading to Maharashtra and Rajasthan yet again to seek people?s blessings. 

Calling upon the people of Din? https://t.co/r2i0eud1Uh",1
"Thank you @shekharkapur. 

Giving my best for the development of this great country that we all are blessed to be l? https://t.co/78dgSdNgBv",1
"Chittorgarh is a land of bravery. People have great attachment to the armed forces. But, the way Congress has repea? https://t.co/TcMQt5rQtB",1
"India will always be grateful to those brave personnel who sacrificed their lives in the line of duty. 

Their cour? https://t.co/ysmJp4hMDk",1
